book,motif,block,number,sentence
"Pinball, 1973",train stations,21,0,
"Pinball, 1973",train stations,22,0,
"Pinball, 1973",train stations,23,0,
"Pinball, 1973",train stations,24,0,
"Pinball, 1973",train stations,25,0,
"Pinball, 1973",noodles,0,0,
"Pinball, 1973",noodles,1,0,
"Pinball, 1973",noodles,2,0,
"Pinball, 1973",noodles,3,0,
"Pinball, 1973",noodles,4,0,
"Pinball, 1973",noodles,5,0,
"Pinball, 1973",noodles,6,0,
"Pinball, 1973",noodles,7,0,
"Pinball, 1973",noodles,8,0,
"Pinball, 1973",noodles,9,0,
"Pinball, 1973",noodles,10,0,
"Pinball, 1973",noodles,11,0,
"Pinball, 1973",noodles,12,0,
"Pinball, 1973",noodles,13,0,
"Pinball, 1973",noodles,14,0,
"Pinball, 1973",noodles,15,0,
"Pinball, 1973",noodles,16,0,
"Pinball, 1973",noodles,17,0,
"Pinball, 1973",noodles,18,0,
"Pinball, 1973",noodles,19,0,
"Pinball, 1973",noodles,20,5,"My partner had gone off to the bank before lunch, and I was eating spaghetti the office girl had made in the apartment’s dining-kitchen."
"Pinball, 1973",noodles,21,0,
"Pinball, 1973",noodles,22,0,
"Pinball, 1973",noodles,23,0,
"Pinball, 1973",noodles,24,0,
"Pinball, 1973",noodles,25,0,
"Pinball, 1973",jazz,0,0,
"Pinball, 1973",jazz,1,0,
"Pinball, 1973",jazz,2,0,
"Pinball, 1973",jazz,3,0,
"Pinball, 1973",jazz,4,0,
"Pinball, 1973",jazz,5,0,
"Pinball, 1973",jazz,6,0,
"Pinball, 1973",jazz,7,0,
"Pinball, 1973",jazz,8,0,
"Pinball, 1973",jazz,9,0,
"Pinball, 1973",jazz,10,0,
"Pinball, 1973",jazz,11,0,
"Pinball, 1973",jazz,12,0,
"Pinball, 1973",jazz,13,0,
"Pinball, 1973",jazz,14,0,
"Pinball, 1973",jazz,15,0,
"Pinball, 1973",jazz,16,0,
"Pinball, 1973",jazz,17,0,
"Pinball, 1973",jazz,18,1,"I’d listen to cassette tapes of old jazz — Bix Beiderbecke, Woody Herman, Bunny Berrigan – while crossing the pass over mountains of work, smoking cigarettes to keep up a leisurely pace, having a shot of whiskey every other hour, eating cookies."
"Pinball, 1973",jazz,19,0,
"Pinball, 1973",jazz,20,0,
"Pinball, 1973",jazz,21,0,
"Pinball, 1973",jazz,22,0,
"Pinball, 1973",jazz,23,0,
"Pinball, 1973",jazz,24,0,
"Pinball, 1973",jazz,25,0,
"Pinball, 1973",classical,0,1,"By the end of autumn, every member had become a classical music fanatic."
"Pinball, 1973",classical,1,0,
"Pinball, 1973",classical,2,0,
"Pinball, 1973",classical,3,0,
"Pinball, 1973",classical,4,0,
"Pinball, 1973",classical,5,0,
"Pinball, 1973",classical,6,0,
"Pinball, 1973",classical,7,0,
"Pinball, 1973",classical,8,0,
"Pinball, 1973",classical,9,1,I whistled along with the tape through the whole Getz solo on “Jumping with Symphony Sid” and felt worlds better.
"Pinball, 1973",classical,10,0,
"Pinball, 1973",classical,11,0,
"Pinball, 1973",classical,12,0,
"Pinball, 1973",classical,13,0,
"Pinball, 1973",classical,14,0,
"Pinball, 1973",classical,15,0,
"Pinball, 1973",classical,16,0,
"Pinball, 1973",classical,17,0,
"Pinball, 1973",classical,18,0,
"Pinball, 1973",classical,19,0,
"Pinball, 1973",classical,20,0,
"Pinball, 1973",classical,21,0,
"Pinball, 1973",classical,22,1,"I sat there and whistled the first four bars of “Jumping with Symphony Sid,” Stan Getz with the Head Shaking and Foot Tapping Rhythm Section."
"Pinball, 1973",classical,23,0,
"Pinball, 1973",classical,24,0,
"Pinball, 1973",classical,25,0,
"Pinball, 1973",war,0,0,
"Pinball, 1973",war,1,1,The house she moved into was a two-story Western-style villa built sometime around the Korean War.
"Pinball, 1973",war,2,0,
"Pinball, 1973",war,3,0,
"Pinball, 1973",war,4,1,"It took three days to get them to accept that Vietnam was divided in two, and that the two halves were at war."
"Pinball, 1973",war,5,0,
"Pinball, 1973",war,6,0,
"Pinball, 1973",war,7,0,
"Pinball, 1973",war,8,0,
"Pinball, 1973",war,9,0,
"Pinball, 1973",war,10,0,
"Pinball, 1973",war,11,0,
"Pinball, 1973",war,12,0,
"Pinball, 1973",war,13,0,
"Pinball, 1973",war,14,1,The Rat looked like a World War II ace.
"Pinball, 1973",war,15,0,
"Pinball, 1973",war,16,0,
"Pinball, 1973",war,17,1,“From World War II through the Korean War they were mostly involved with making bomb bay mechanisms.
"Pinball, 1973",war,18,0,
"Pinball, 1973",war,19,0,
"Pinball, 1973",war,20,0,
"Pinball, 1973",war,21,0,
"Pinball, 1973",war,22,0,
"Pinball, 1973",war,23,0,
"Pinball, 1973",war,24,0,
"Pinball, 1973",war,25,0,
"Pinball, 1973",ears,0,1,"Times were short of people willing to lend a sympathetic ear, it seemed, so anyone and everyone opened up to me, obligingly and emphatically telling all."
"Pinball, 1973",ears,1,0,
"Pinball, 1973",ears,2,0,
"Pinball, 1973",ears,3,0,
"Pinball, 1973",ears,4,0,
"Pinball, 1973",ears,5,0,
"Pinball, 1973",ears,6,1,"And while he sat there on the end of the jetty, he’d let the sound of the waves fill his ears, watch the clouds and schools of tiny sweetfish, take pebbles he’d pocketed on the way and throw them out into the deep."
"Pinball, 1973",ears,7,0,
"Pinball, 1973",ears,8,1,"I raised my hand as far as my ear, but by that time the train had gone."
"Pinball, 1973",ears,9,0,
"Pinball, 1973",ears,10,1,"Maybe if I put gardenias in both ears, or wore flippers over both hands, somebody might take a second look."
"Pinball, 1973",ears,11,1,"An old letter, a receipt, something to clean my ears with?"
"Pinball, 1973",ears,12,0,
"Pinball, 1973",ears,13,0,
"Pinball, 1973",ears,14,1,"I shut my eyes, and my ears rang with the sounds of bumpers rebounding balls, and the score tallies clicking away."
"Pinball, 1973",ears,15,0,
"Pinball, 1973",ears,16,1,"There I’d be, alone in the freezing, deserted game center, bundled up in my duffel coat, muffler wrapped around my neck up to my ears, grappling with the machine."
"Pinball, 1973",ears,17,0,
"Pinball, 1973",ears,18,3,"And by the time they got around to a supplementary order, Gilbert & Sands no longer existed.” “Those three machines, do you know their whereabouts?” He gave the sugar in his coffee cup a few stirs, then scratched fervently at his earlobe."
"Pinball, 1973",ears,19,0,
"Pinball, 1973",ears,20,0,
"Pinball, 1973",ears,21,0,
"Pinball, 1973",ears,22,1,I felt as if every machine had its ears pricked to listen.
"Pinball, 1973",ears,23,0,
"Pinball, 1973",ears,24,2,Most were small towns whose names were new to his ears.
"Pinball, 1973",ears,25,16,"So whenever I finished taking a bath, the twins would sit one on each side of me and simultaneously clean both my ears."
"Pinball, 1973",coffee,0,0,
"Pinball, 1973",coffee,1,3,"Without so much as a word, they went into the kitchen, made toast and coffee, got butter from the fridge, and laid it all out on the table."
"Pinball, 1973",coffee,2,0,
"Pinball, 1973",coffee,3,0,
"Pinball, 1973",coffee,4,2,"When I finished work and went home, I’d drink the twin’s delicious coffee, and read the Critique of Pure Reason for the umpteenth time."
"Pinball, 1973",coffee,5,0,
"Pinball, 1973",coffee,6,5,"When the work was completed, the twins wormed into their sweatshirts and jeans under the covers, made their way to the kitchen, and made coffee for everyone."
"Pinball, 1973",coffee,7,0,
"Pinball, 1973",coffee,8,1,"No coffee, no tea, no bancha."
"Pinball, 1973",coffee,9,5,"The office girl brought in a cup of hot coffee and two rolls as usual, set them on the desk, and vanished."
"Pinball, 1973",coffee,10,5,"When we were through, the twins cleared the table, and the two of them stood around in the kitchen brewing coffee."
"Pinball, 1973",coffee,11,3,The twins immediately set about washing the dishes and brewing coffee.
"Pinball, 1973",coffee,12,0,
"Pinball, 1973",coffee,13,5,"Little did I notice that it was fifteen minutes earlier than usual as I shaved, drank my coffee, and read through the morning paper, still sticky with fresh ink."
"Pinball, 1973",coffee,14,1,"I ordered a coffee, and she ordered a coffee and a lemon soufflé."
"Pinball, 1973",coffee,15,0,
"Pinball, 1973",coffee,16,2,"There were high school students who parked their bikes out front and nighthawk cabbies, bar hostesses, and diehard hippies, all drinking coffee with the exact same bottomed-out expression."
"Pinball, 1973",coffee,17,4,"Hope you find it.” I went into a quiet little coffee shop, dialed the number."
"Pinball, 1973",coffee,18,5,I kept nodding as I drank my coffee.
"Pinball, 1973",coffee,19,0,
"Pinball, 1973",coffee,20,1,"“Okay, off you go.” * * * I rendezvoused with the Spanish lecturer at the coffee shop where we’d first met, and we caught a taxi straight away."
"Pinball, 1973",coffee,21,0,
"Pinball, 1973",coffee,22,1,"If it had been a coffee shop, we’d have sipped our coffee and fingered the lace curtains."
"Pinball, 1973",coffee,23,2,They serve the worst coffee.
"Pinball, 1973",coffee,24,0,
"Pinball, 1973",coffee,25,1,I brewed coffee.
"Pinball, 1973",vanishing,0,1,That invigorating feeling I’d left the apartment with in the morning had utterly vanished.
"Pinball, 1973",vanishing,1,1,"The call of a cuckoo rang out straight across the softly luminous scene, the echo disappearing over the ridge."
"Pinball, 1973",vanishing,2,0,
"Pinball, 1973",vanishing,3,1,"Yet if we had occasion to personally examine that very first 11 prototype “Ballyhoo” created by Maloney’s own hands, all such thoughts would surely vanish."
"Pinball, 1973",vanishing,4,1,"Even after that year’s all-too-brief summer had vanished, as if sucked up into thin air along with early September uncertainties, some small reminder of summer lingered on in the Rat’s heart."
"Pinball, 1973",vanishing,5,1,"Soon the last breath of the warm dream has seeped away like a stream vanishing into the autumn sands, leaving no trace."
"Pinball, 1973",vanishing,6,0,
"Pinball, 1973",vanishing,7,0,
"Pinball, 1973",vanishing,8,1,"And out of the midst of that darkness would surface the orange glow of the beacon, only to vanish."
"Pinball, 1973",vanishing,9,2,"The office girl brought in a cup of hot coffee and two rolls as usual, set them on the desk, and vanished."
"Pinball, 1973",vanishing,10,0,
"Pinball, 1973",vanishing,11,2,"And in the end, they all just vanished."
"Pinball, 1973",vanishing,12,1,He followed the white smoke with his eyes until it completely vanished in the air.
"Pinball, 1973",vanishing,13,0,
"Pinball, 1973",vanishing,14,0,
"Pinball, 1973",vanishing,15,0,
"Pinball, 1973",vanishing,16,2,"All sorts of disconnected ideas floated into my head, then disappeared."
"Pinball, 1973",vanishing,17,1,"Then little by little, the image grew weaker in its details, until it had completely vanished."
"Pinball, 1973",vanishing,18,2,Only another ‘Spaceship’ vanished from the face of the earth.
"Pinball, 1973",vanishing,19,1,"And as the town changed, even that trace would vanish."
"Pinball, 1973",vanishing,20,0,
"Pinball, 1973",vanishing,21,0,
"Pinball, 1973",vanishing,22,0,
"Pinball, 1973",vanishing,23,1,"Something in his being drifted a while in the dark, then vanished, like the coil of white smoke that rises from a candle when it’s blown out."
"Pinball, 1973",vanishing,24,0,
"Pinball, 1973",vanishing,25,1,76 25 The hum of pinball had all but vanished from my life.
Hard-Boiled Wonderland and the End of the World,cats,0,0,
Hard-Boiled Wonderland and the End of the World,cats,1,0,
Hard-Boiled Wonderland and the End of the World,cats,2,0,
Hard-Boiled Wonderland and the End of the World,cats,3,0,
Hard-Boiled Wonderland and the End of the World,cats,4,0,
Hard-Boiled Wonderland and the End of the World,cats,5,0,
Hard-Boiled Wonderland and the End of the World,cats,6,0,
Hard-Boiled Wonderland and the End of the World,cats,7,0,
Hard-Boiled Wonderland and the End of the World,cats,8,0,
Hard-Boiled Wonderland and the End of the World,cats,9,0,
Hard-Boiled Wonderland and the End of the World,cats,10,0,
Hard-Boiled Wonderland and the End of the World,cats,11,0,
Hard-Boiled Wonderland and the End of the World,cats,12,0,
Hard-Boiled Wonderland and the End of the World,cats,13,0,
Hard-Boiled Wonderland and the End of the World,cats,14,0,
Hard-Boiled Wonderland and the End of the World,cats,15,0,
Hard-Boiled Wonderland and the End of the World,cats,16,0,
Hard-Boiled Wonderland and the End of the World,cats,17,0,
Hard-Boiled Wonderland and the End of the World,cats,18,0,
Hard-Boiled Wonderland and the End of the World,cats,19,0,
Hard-Boiled Wonderland and the End of the World,cats,20,0,
Hard-Boiled Wonderland and the End of the World,cats,21,0,
Hard-Boiled Wonderland and the End of the World,cats,22,0,
Hard-Boiled Wonderland and the End of the World,cats,23,0,
Hard-Boiled Wonderland and the End of the World,cats,24,0,
Hard-Boiled Wonderland and the End of the World,cats,25,0,
Hard-Boiled Wonderland and the End of the World,cats,26,0,
Hard-Boiled Wonderland and the End of the World,cats,27,0,
Hard-Boiled Wonderland and the End of the World,cats,28,0,
Hard-Boiled Wonderland and the End of the World,cats,29,1,The T-shirt covering made it look like a sleeping cat.
Hard-Boiled Wonderland and the End of the World,cats,30,0,
Hard-Boiled Wonderland and the End of the World,cats,31,0,
Hard-Boiled Wonderland and the End of the World,cats,32,0,
Hard-Boiled Wonderland and the End of the World,cats,33,0,
Hard-Boiled Wonderland and the End of the World,cats,34,0,
Hard-Boiled Wonderland and the End of the World,cats,35,0,
Hard-Boiled Wonderland and the End of the World,cats,36,0,
Hard-Boiled Wonderland and the End of the World,cats,37,0,
Hard-Boiled Wonderland and the End of the World,cats,38,0,
Hard-Boiled Wonderland and the End of the World,cats,39,0,
Hard-Boiled Wonderland and the End of the World,cats,40,0,
Hard-Boiled Wonderland and the End of the World,cats,41,0,
Hard-Boiled Wonderland and the End of the World,cats,42,0,
Hard-Boiled Wonderland and the End of the World,cats,43,0,
Hard-Boiled Wonderland and the End of the World,cats,44,0,
Hard-Boiled Wonderland and the End of the World,cats,45,0,
Hard-Boiled Wonderland and the End of the World,cats,46,0,
Hard-Boiled Wonderland and the End of the World,cats,47,0,
Hard-Boiled Wonderland and the End of the World,cats,48,0,
Hard-Boiled Wonderland and the End of the World,cats,49,0,
Hard-Boiled Wonderland and the End of the World,cats,50,0,
Hard-Boiled Wonderland and the End of the World,cats,51,0,
Hard-Boiled Wonderland and the End of the World,cats,52,0,
Hard-Boiled Wonderland and the End of the World,cats,53,0,
Hard-Boiled Wonderland and the End of the World,cats,54,0,
Hard-Boiled Wonderland and the End of the World,cats,55,0,
Hard-Boiled Wonderland and the End of the World,cats,56,0,
Hard-Boiled Wonderland and the End of the World,cats,57,0,
Hard-Boiled Wonderland and the End of the World,cats,58,0,
Hard-Boiled Wonderland and the End of the World,cats,59,0,
Hard-Boiled Wonderland and the End of the World,cats,60,0,
Hard-Boiled Wonderland and the End of the World,cats,61,0,
Hard-Boiled Wonderland and the End of the World,cats,62,0,
Hard-Boiled Wonderland and the End of the World,cats,63,0,
Hard-Boiled Wonderland and the End of the World,cats,64,0,
Hard-Boiled Wonderland and the End of the World,cats,65,0,
Hard-Boiled Wonderland and the End of the World,cats,66,0,
Hard-Boiled Wonderland and the End of the World,cats,67,0,
Hard-Boiled Wonderland and the End of the World,cats,68,1,"To sit down in a sunny spot and lap it up like a cat at its dish of milk, first page to last, to read every word of print."
Hard-Boiled Wonderland and the End of the World,cats,69,0,
Hard-Boiled Wonderland and the End of the World,cats,70,0,
Hard-Boiled Wonderland and the End of the World,cats,71,0,
Hard-Boiled Wonderland and the End of the World,cats,72,0,
Hard-Boiled Wonderland and the End of the World,cats,73,0,
Hard-Boiled Wonderland and the End of the World,cats,74,0,
Hard-Boiled Wonderland and the End of the World,cats,75,0,
Hard-Boiled Wonderland and the End of the World,cats,76,0,
Hard-Boiled Wonderland and the End of the World,cats,77,0,
Hard-Boiled Wonderland and the End of the World,cats,78,0,
Hard-Boiled Wonderland and the End of the World,cats,79,0,
Hard-Boiled Wonderland and the End of the World,cats,80,0,
Hard-Boiled Wonderland and the End of the World,cats,81,0,
Hard-Boiled Wonderland and the End of the World,cats,82,0,
Hard-Boiled Wonderland and the End of the World,cats,83,0,
Hard-Boiled Wonderland and the End of the World,cats,84,0,
Hard-Boiled Wonderland and the End of the World,cats,85,0,
Hard-Boiled Wonderland and the End of the World,cats,86,0,
Hard-Boiled Wonderland and the End of the World,cats,87,0,
Hard-Boiled Wonderland and the End of the World,cats,88,0,
Hard-Boiled Wonderland and the End of the World,cats,89,0,
Hard-Boiled Wonderland and the End of the World,cats,90,0,
Hard-Boiled Wonderland and the End of the World,cats,91,0,
Hard-Boiled Wonderland and the End of the World,cats,92,0,
Hard-Boiled Wonderland and the End of the World,cats,93,0,
Hard-Boiled Wonderland and the End of the World,cats,94,0,
Hard-Boiled Wonderland and the End of the World,cats,95,0,
Hard-Boiled Wonderland and the End of the World,cats,96,0,
Hard-Boiled Wonderland and the End of the World,cats,97,0,
Hard-Boiled Wonderland and the End of the World,cats,98,0,
Hard-Boiled Wonderland and the End of the World,cats,99,0,
Hard-Boiled Wonderland and the End of the World,cats,100,2,Three of us had moved in together: me and my wife and the cat.
Hard-Boiled Wonderland and the End of the World,cats,101,0,
Hard-Boiled Wonderland and the End of the World,cats,102,0,
Hard-Boiled Wonderland and the End of the World,cats,103,0,
Hard-Boiled Wonderland and the End of the World,cats,104,0,
Hard-Boiled Wonderland and the End of the World,cats,105,0,
Hard-Boiled Wonderland and the End of the World,cats,106,0,
Hard-Boiled Wonderland and the End of the World,cats,107,0,
Hard-Boiled Wonderland and the End of the World,cats,108,0,
Hard-Boiled Wonderland and the End of the World,cats,109,0,
Hard-Boiled Wonderland and the End of the World,cats,110,0,
Hard-Boiled Wonderland and the End of the World,cats,111,0,
Hard-Boiled Wonderland and the End of the World,cats,112,0,
Hard-Boiled Wonderland and the End of the World,cats,113,0,
Hard-Boiled Wonderland and the End of the World,cats,114,0,
Hard-Boiled Wonderland and the End of the World,cats,115,0,
Hard-Boiled Wonderland and the End of the World,cats,116,0,
Hard-Boiled Wonderland and the End of the World,cats,117,0,
Hard-Boiled Wonderland and the End of the World,cats,118,0,
Hard-Boiled Wonderland and the End of the World,wells,0,1,"Every last thing about this elevator was worlds apart from the cheap die-cut job in my apartment building, scarcely one notch up the evolutionary scale from a well bucket."
Hard-Boiled Wonderland and the End of the World,wells,1,0,
Hard-Boiled Wonderland and the End of the World,wells,2,0,
Hard-Boiled Wonderland and the End of the World,wells,3,0,
Hard-Boiled Wonderland and the End of the World,wells,4,0,
Hard-Boiled Wonderland and the End of the World,wells,5,0,
Hard-Boiled Wonderland and the End of the World,wells,6,0,
Hard-Boiled Wonderland and the End of the World,wells,7,0,
Hard-Boiled Wonderland and the End of the World,wells,8,0,
Hard-Boiled Wonderland and the End of the World,wells,9,0,
Hard-Boiled Wonderland and the End of the World,wells,10,0,
Hard-Boiled Wonderland and the End of the World,wells,11,0,
Hard-Boiled Wonderland and the End of the World,wells,12,0,
Hard-Boiled Wonderland and the End of the World,wells,13,0,
Hard-Boiled Wonderland and the End of the World,wells,14,0,
Hard-Boiled Wonderland and the End of the World,wells,15,0,
Hard-Boiled Wonderland and the End of the World,wells,16,0,
Hard-Boiled Wonderland and the End of the World,wells,17,0,
Hard-Boiled Wonderland and the End of the World,wells,18,0,
Hard-Boiled Wonderland and the End of the World,wells,19,0,
Hard-Boiled Wonderland and the End of the World,wells,20,0,
Hard-Boiled Wonderland and the End of the World,wells,21,0,
Hard-Boiled Wonderland and the End of the World,wells,22,0,
Hard-Boiled Wonderland and the End of the World,wells,23,0,
Hard-Boiled Wonderland and the End of the World,wells,24,0,
Hard-Boiled Wonderland and the End of the World,wells,25,0,
Hard-Boiled Wonderland and the End of the World,wells,26,0,
Hard-Boiled Wonderland and the End of the World,wells,27,0,
Hard-Boiled Wonderland and the End of the World,wells,28,0,
Hard-Boiled Wonderland and the End of the World,wells,29,0,
Hard-Boiled Wonderland and the End of the World,wells,30,0,
Hard-Boiled Wonderland and the End of the World,wells,31,0,
Hard-Boiled Wonderland and the End of the World,wells,32,0,
Hard-Boiled Wonderland and the End of the World,wells,33,0,
Hard-Boiled Wonderland and the End of the World,wells,34,0,
Hard-Boiled Wonderland and the End of the World,wells,35,0,
Hard-Boiled Wonderland and the End of the World,wells,36,0,
Hard-Boiled Wonderland and the End of the World,wells,37,0,
Hard-Boiled Wonderland and the End of the World,wells,38,0,
Hard-Boiled Wonderland and the End of the World,wells,39,0,
Hard-Boiled Wonderland and the End of the World,wells,40,0,
Hard-Boiled Wonderland and the End of the World,wells,41,0,
Hard-Boiled Wonderland and the End of the World,wells,42,2,"I sit down, leaning against the well and gazing up at the sky."
Hard-Boiled Wonderland and the End of the World,wells,43,0,
Hard-Boiled Wonderland and the End of the World,wells,44,0,
Hard-Boiled Wonderland and the End of the World,wells,45,0,
Hard-Boiled Wonderland and the End of the World,wells,46,0,
Hard-Boiled Wonderland and the End of the World,wells,47,0,
Hard-Boiled Wonderland and the End of the World,wells,48,0,
Hard-Boiled Wonderland and the End of the World,wells,49,0,
Hard-Boiled Wonderland and the End of the World,wells,50,0,
Hard-Boiled Wonderland and the End of the World,wells,51,0,
Hard-Boiled Wonderland and the End of the World,wells,52,0,
Hard-Boiled Wonderland and the End of the World,wells,53,0,
Hard-Boiled Wonderland and the End of the World,wells,54,0,
Hard-Boiled Wonderland and the End of the World,wells,55,0,
Hard-Boiled Wonderland and the End of the World,wells,56,0,
Hard-Boiled Wonderland and the End of the World,wells,57,0,
Hard-Boiled Wonderland and the End of the World,wells,58,0,
Hard-Boiled Wonderland and the End of the World,wells,59,0,
Hard-Boiled Wonderland and the End of the World,wells,60,0,
Hard-Boiled Wonderland and the End of the World,wells,61,0,
Hard-Boiled Wonderland and the End of the World,wells,62,0,
Hard-Boiled Wonderland and the End of the World,wells,63,0,
Hard-Boiled Wonderland and the End of the World,wells,64,0,
Hard-Boiled Wonderland and the End of the World,wells,65,0,
Hard-Boiled Wonderland and the End of the World,wells,66,0,
Hard-Boiled Wonderland and the End of the World,wells,67,0,
Hard-Boiled Wonderland and the End of the World,wells,68,0,
Hard-Boiled Wonderland and the End of the World,wells,69,0,
Hard-Boiled Wonderland and the End of the World,wells,70,0,
Hard-Boiled Wonderland and the End of the World,wells,71,0,
Hard-Boiled Wonderland and the End of the World,wells,72,0,
Hard-Boiled Wonderland and the End of the World,wells,73,0,
Hard-Boiled Wonderland and the End of the World,wells,74,0,
Hard-Boiled Wonderland and the End of the World,wells,75,0,
Hard-Boiled Wonderland and the End of the World,wells,76,0,
Hard-Boiled Wonderland and the End of the World,wells,77,0,
Hard-Boiled Wonderland and the End of the World,wells,78,0,
Hard-Boiled Wonderland and the End of the World,wells,79,0,
Hard-Boiled Wonderland and the End of the World,wells,80,0,
Hard-Boiled Wonderland and the End of the World,wells,81,0,
Hard-Boiled Wonderland and the End of the World,wells,82,0,
Hard-Boiled Wonderland and the End of the World,wells,83,0,
Hard-Boiled Wonderland and the End of the World,wells,84,0,
Hard-Boiled Wonderland and the End of the World,wells,85,0,
Hard-Boiled Wonderland and the End of the World,wells,86,0,
Hard-Boiled Wonderland and the End of the World,wells,87,0,
Hard-Boiled Wonderland and the End of the World,wells,88,0,
Hard-Boiled Wonderland and the End of the World,wells,89,0,
Hard-Boiled Wonderland and the End of the World,wells,90,0,
Hard-Boiled Wonderland and the End of the World,wells,91,0,
Hard-Boiled Wonderland and the End of the World,wells,92,0,
Hard-Boiled Wonderland and the End of the World,wells,93,0,
Hard-Boiled Wonderland and the End of the World,wells,94,0,
Hard-Boiled Wonderland and the End of the World,wells,95,0,
Hard-Boiled Wonderland and the End of the World,wells,96,0,
Hard-Boiled Wonderland and the End of the World,wells,97,0,
Hard-Boiled Wonderland and the End of the World,wells,98,0,
Hard-Boiled Wonderland and the End of the World,wells,99,0,
Hard-Boiled Wonderland and the End of the World,wells,100,0,
Hard-Boiled Wonderland and the End of the World,wells,101,0,
Hard-Boiled Wonderland and the End of the World,wells,102,0,
Hard-Boiled Wonderland and the End of the World,wells,103,0,
Hard-Boiled Wonderland and the End of the World,wells,104,0,
Hard-Boiled Wonderland and the End of the World,wells,105,0,
Hard-Boiled Wonderland and the End of the World,wells,106,0,
Hard-Boiled Wonderland and the End of the World,wells,107,0,
Hard-Boiled Wonderland and the End of the World,wells,108,0,
Hard-Boiled Wonderland and the End of the World,wells,109,0,
